loc_id,country,state,city
134,US                              ,SC      ,Beaufort                                                        
135,DE                              ,NULL    ,Haimhausen                                                      
136,NZ                              ,NULL    ,Hillmorton                                                      
137,US                              ,TN      ,Tullahoma                                                       
138,US                              ,MO      ,Washington                                                      
139,US                              ,CA      ,Calexico                                                        
140,FR                              ,NULL    ,Lucinges                                                        
141,US                              ,CO      ,Lafayette                                                       
142,CA                              ,ON      ,Strathroy                                                       
143,ES                              ,NULL    ,Torremolinos                                                    
144,US                              ,NY      ,Riverhead                                                       
145,US                              ,WA      ,Westport                                                        
146,US                              ,NC      ,Archdale                                                        
147,US                              ,MI      ,Waterford                                                       
148,US                              ,OH      ,Steubenville                                                    
149,BR                              ,NULL    ,Contagem - MG                                                   
150,US                              ,MD      ,Mount Airy                                                      
151,US                              ,NY      ,East Hampton                                                    
152,AU                              ,NULL    ,Wonga Park                                                      
153,US                              ,PA      ,Glen Mills                                                      
154,ZW                              ,NULL    ,Harare                                                          
155,GB                              ,GB2     ,Well                                                            
156,IE                              ,NULL    ,Athlone                                                         
157,DE                              ,NULL    ,Ellingen                                                        
158,US                              ,NY      ,Mount Morris                                                    
159,DE                              ,NULL    ,Lauingen ( Donau )                                              
160,US                              ,VA      ,La Crosse                                                       
161,US                              ,NJ      ,Sergeantsville                                                  
162,US                              ,OH      ,Hicksville                                                      
163,AU                              ,NULL    ,Eagle Heights                                                   
164,US                              ,MN      ,Clouquet                                                        
165,US                              ,NM      ,Las Cruces                                                      
166,US                              ,MA      ,Middleboro                                                      
167,GB                              ,GB2     ,"Haddenham, Buckingham                                           "
168,US                              ,NC      ,Mint Hill                                                       
169,US                              ,IN      ,Bloomington                                                     
170,FR                              ,NULL    ,Riquewihr                                                       
171,BR                              ,NULL    ,Cascavel                                                        
172,GB                              ,GB2     ,Tewkesbury                                                      
173,CA                              ,BC      ,West Kelowna                                                    
174,DK                              ,NULL    ,Gørløse                                                       
175,US                              ,MS      ,Ridgeland                                                       
176,US                              ,PA      ,Hazle Township                                                  
177,SE                              ,NULL    ,Grimslöv                                                       
178,RU                              ,NULL    ,Kemerovo                                                        
179,US                              ,MA      ,Centerville                                                     
180,US                              ,MA      ,North Reading                                                   
181,US                              ,CO      ,Vail                                                            
